Timestamp,Your Name (English or Mandarin OK),"Paper Citation (citation format, as sent to you)",PMID (if applicable),"Is this an original study of heart failure, and not a review paper, clinical device study, or protocol paper?
",Is this a study of human adults? ,"How is heart failure defined in the study? 

Possible answers include medical chart review, EKG, NYHA I-III, or did not specify. ",Country of Study Population ,"Does this study include an untargeted metabolomics measure? For example, LCMS, GCMS, NMR.

If no, select ""No"" then skip the rest of this form, and click submit. ",What type of metabolomics is included in this study,What type of sample is used for metabolomics in this study?,"Does this study measure, or sequence, the microbiome?","If it did measure the microbiome, please briefly provide the body site samples and sequencing method (eg, 16S stool)","Is the metabolomics data from this study publicly available? 

In the data availability statement, it should say if the data was uploaded to a general repository or national library. If it says ""data available upon request"", select no. ","Please copy and paste the data availability statement from the paper here. (Response might be ""No statement"")
","Representativeness of the exposed cohort
Does the study cohort represent heart failure patients in the real world? In other words, was sampling unbiased?
Select 0 or 1:
","Selection of the non-exposed cohort
Basically, are the controls recruited via the same method as those who had heart failure?
Select 0 or 1:
","Ascertainment of exposure
Enter 0 or 1:
Is there an unbiased/biological measure of the exposure? For us, exposure is heart failure status. ","Ascertainment of exposure done prospectively or retrospectively
Enter 0 or 1:
Are patients recruited retrospectively (after heart failure) or prospectively (before heart failure)?","Adjustment for confounding (rendering comparability of cohorts on the basis of the design or analysis)
Add points: Minimum 0, Maximum 2
Does the study mention that smoking, diabetes, or other confounding variables are the same across groups? Or do they use age- and smoking-matched controls? ","Assessment of outcome
Our outcome here is the details of the metabolomics.
Enter 0 or 1:",Do you have other comments or things you want me to know on this paper? ,"What is the number of participants in each condition in this study?

Only need to answer if this is a heart failure study in human adults with metabolomics measures. 

For examine,  HF n = 25; healthy control n = 22"
7/2/2024 17:06:35,Jack,Microbes Infect. 2008 Jan;10(1):29-37. doi: 10.1016/j.micinf.2007.09.015. Epub 2007 Oct 2.,18078776,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:03:32,EW,Eur J Intern Med. 2008 Jan;19(1):15-21. doi: 10.1016/j.ejim.2007.03.015. Epub 2007 Sep 19.,18206596,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 11:37:42,Jack,Eur J Intern Med. 2008 Jan;19(1):15-21. doi: 10.1016/j.ejim.2007.03.015. Epub 2007 Sep 19.,18206596,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:02:53,EW,Front Biosci. 2008 May 1;13:3714-34. doi: 10.2741/2961.,18508467,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 11:35:39,Jack,Front Biosci. 2008 May 1;13:3714-34. doi: 10.2741/2961.,18508467,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:00:36,EW,Antimicrob Agents Chemother. 2008 Sep;52(9):3244-52. doi: 10.1128/AAC.00063-08. Epub 2008 Jun 30.,18591273,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 11:32:54,Jack,Antimicrob Agents Chemother. 2008 Sep;52(9):3244-52. doi: 10.1128/AAC.00063-08. Epub 2008 Jun 30.,18591273,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:01:26,EW,"Emerg Med Clin North Am. 2008 Aug;26(3):759-86, ix. doi: 10.1016/j.emc.2008.04.001.",18655944,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 11:33:47,Jack,"Emerg Med Clin North Am. 2008 Aug;26(3):759-86, ix. doi: 10.1016/j.emc.2008.04.001.",18655944,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:06:19,EW,Recent Pat Inflamm Allergy Drug Discov. 2007 Feb;1(1):57-67. doi: 10.2174/187221307779815084.,19075967,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 17:10:10,Jack,Recent Pat Inflamm Allergy Drug Discov. 2007 Feb;1(1):57-67. doi: 10.2174/187221307779815084.,19075967,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:52:17,EW,Nat Rev Microbiol. 2009 Feb;7(2):99-109. doi: 10.1038/nrmicro2070.,19148178,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 11:28:55,Jack,Nat Rev Microbiol. 2009 Feb;7(2):99-109. doi: 10.1038/nrmicro2070.,19148178,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:50:55,EW,Antimicrob Agents Chemother. 2009 Apr;53(4):1463-7. doi: 10.1128/AAC.01307-08. Epub 2009 Jan 26.,19171803,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 11:28:10,Jack,Antimicrob Agents Chemother. 2009 Apr;53(4):1463-7. doi: 10.1128/AAC.01307-08. Epub 2009 Jan 26.,19171803,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:57:13,EW,Ann Clin Lab Sci. 2009 Winter;39(1):3-16.,19201735,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 11:30:55,Jack,Ann Clin Lab Sci. 2009 Winter;39(1):3-16.,19201735,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:46:52,EW,Arch Gerontol Geriatr. 2010 May-Jun;50(3):311-4. doi: 10.1016/j.archger.2009.05.003. Epub 2009 Jun 11.,19523698,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 10:47:35,Jack,Arch Gerontol Geriatr. 2010 May-Jun;50(3):311-4. doi: 10.1016/j.archger.2009.05.003. Epub 2009 Jun 11.,19523698,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:55:59,EW,Ann Med. 2009;41(8):591-8. doi: 10.1080/07853890903110994.,19711212,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 11:29:47,Jack,Ann Med. 2009;41(8):591-8. doi: 10.1080/07853890903110994.,19711212,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:59:12,EW,Circ Cardiovasc Genet. 2008 Oct;1(1):58-65. doi: 10.1161/CIRCGENETICS.108.808329.,20031543,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 11:31:47,Jack,Circ Cardiovasc Genet. 2008 Oct;1(1):58-65. doi: 10.1161/CIRCGENETICS.108.808329.,20031543,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:49:58,EW,Int Urol Nephrol. 2010 Mar;42(1):165-71. doi: 10.1007/s11255-009-9685-z. Epub 2009 Dec 29.,20039126,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 11:27:31,Jack,Int Urol Nephrol. 2010 Mar;42(1):165-71. doi: 10.1007/s11255-009-9685-z. Epub 2009 Dec 29.,20039126,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:44:29,EW,Mitochondrion. 2010 Jun;10(4):316-20. doi: 10.1016/j.mito.2010.02.005. Epub 2010 Mar 2.,20206303,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 10:43:19,Jack,Mitochondrion. 2010 Jun;10(4):316-20. doi: 10.1016/j.mito.2010.02.005. Epub 2010 Mar 2.,20206303,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:45:27,EW,J Immunol. 2010 May 1;184(9):5315-24. doi: 10.4049/jimmunol.0903378. Epub 2010 Apr 2.,20363975,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 10:44:40,Jack,J Immunol. 2010 May 1;184(9):5315-24. doi: 10.4049/jimmunol.0903378. Epub 2010 Apr 2.,20363975,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:43:14,EW,J Hypertens. 2010 Jul;28(7):1413-21. doi: 10.1097/HJH.0b013e328338cd36.,20453665,"Yes, study of heart failure.","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 10:42:19,Jack,J Hypertens. 2010 Jul;28(7):1413-21. doi: 10.1097/HJH.0b013e328338cd36.,20453665,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:41:46,EW,Intern Emerg Med. 2010 Oct;5 Suppl 1:S53-6. doi: 10.1007/s11739-010-0450-1.,20865475,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 10:40:41,Jack,Intern Emerg Med. 2010 Oct;5 Suppl 1:S53-6. doi: 10.1007/s11739-010-0450-1.,20865475,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:39:26,EW,Microbes Infect. 2011 Mar;13(3):216-25. doi: 10.1016/j.micinf.2010.10.016. Epub 2010 Oct 29.,21044892,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 10:40:02,Jack,Microbes Infect. 2011 Mar;13(3):216-25. doi: 10.1016/j.micinf.2010.10.016. Epub 2010 Oct 29.,21044892,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:38:29,EW,Mech Ageing Dev. 2011 Mar;132(3):86-92. doi: 10.1016/j.mad.2010.12.005. Epub 2011 Jan 14.,21238472,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 10:38:57,Jack,Mech Ageing Dev. 2011 Mar;132(3):86-92. doi: 10.1016/j.mad.2010.12.005. Epub 2011 Jan 14.,21238472,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:32:33,EW,Expert Opin Ther Targets. 2011 Jun;15(6):753-65. doi: 10.1517/14728222.2011.566560. Epub 2011 Mar 9.,21385118,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 10:22:01,Jack,"Expert Opin Ther Targets. 2011 Jun;15(6):753-65. doi: 10.1517/14728222.2011.566560. Epub 2011 Mar 9.
",21385118,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:36:58,EW,Herz. 2011 Mar;36(2):102-15. doi: 10.1007/s00059-011-3429-4.,21424347,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 10:29:17,Jack,Herz. 2011 Mar;36(2):102-15. doi: 10.1007/s00059-011-3429-4.,21424347,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:13:11,EW,Heart Fail Rev. 2012 May;17(3):437-48. doi: 10.1007/s10741-011-9260-4.,21688187,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/23/2024 23:56:29,Kiramat Ullah,Heart Fail Rev. 2012 May;17(3):437-48. doi: 10.1007/s10741-011-9260-4.,21688187,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
7/3/2024 7:59:06,Jack,Proc Am Thorac Soc. 2011 Sep;8(5):411-7. doi: 10.1513/pats.201107-040TT.,21926390,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:31:19,EW,Proc Am Thorac Soc. 2011 Sep;8(5):411-7. doi: 10.1513/pats.201107-040TT.,21926391,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:29:01,EW,Expert Rev Anti Infect Ther. 2011 Oct;9(10):901-7. doi: 10.1586/eri.11.110.,21973302,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 10:19:36,Jack,Expert Rev Anti Infect Ther. 2011 Oct;9(10):901-7. doi: 10.1586/eri.11.110.,21973302,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:26:50,EW,J Innate Immun. 2012;4(1):16-30. doi: 10.1159/000334247. Epub 2011 Nov 4.,22067846,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 10:18:43,Jack,J Innate Immun. 2012;4(1):16-30. doi: 10.1159/000334247. Epub 2011 Nov 4.,22067846,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:20:31,EW,Free Radic Biol Med. 2012 Jan 15;52(2):266-80. doi: 10.1016/j.freeradbiomed.2011.10.481. Epub 2011 Oct 31.,22080084,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 10:13:25,Jack,Free Radic Biol Med. 2012 Jan 15;52(2):266-80. doi: 10.1016/j.freeradbiomed.2011.10.481. Epub 2011 Oct 31.,22080084,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:07:07,EW,Cardiovasc Ther. 2012 Dec;30(6):301-7. doi: 10.1111/j.1755-5922.2011.00303.x. Epub 2011 Dec 5.,22136572,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/23/2024 23:50:44,Kiramat Ullah,Cardiovasc Ther. 2012 Dec;30(6):301-7. doi: 10.1111/j.1755-5922.2011.00303.x. Epub 2011 Dec 5.,22136572,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/17/2024 15:11:44,EW,J Periodontal Res. 2012 Jun;47(3):345-53. doi: 10.1111/j.1600-0765.2011.01439.x. Epub 2011 Dec 19.,22181012,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/23/2024 23:54:48,Kiramat Ullah,J Periodontal Res. 2012 Jun;47(3):345-53. doi: 10.1111/j.1600-0765.2011.01439.x. Epub 2011 Dec 19.,22181012,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/17/2024 15:18:14,EW,FASEB J. 2012 Apr;26(4):1727-35. doi: 10.1096/fj.11-197921. Epub 2012 Jan 12.,22247331,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/24/2024 0:01:02,Kiramat Ullah,FASEB J. 2012 Apr;26(4):1727-35. doi: 10.1096/fj.11-197921. Epub 2012 Jan 12.,22247331,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/17/2024 15:15:33,EW,Antimicrob Agents Chemother. 2012 Apr;56(4):2178-80. doi: 10.1128/AAC.05987-11. Epub 2012 Jan 30.,22290968,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/23/2024 23:59:28,Kiramat Ullah,Antimicrob Agents Chemother. 2012 Apr;56(4):2178-80. doi: 10.1128/AAC.05987-11. Epub 2012 Jan 30.,22290968,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/17/2024 15:25:27,EW,Mediators Inflamm. 2012;2012:920517. doi: 10.1155/2012/920517. Epub 2012 Apr 11.,22577258,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
7/2/2024 10:17:49,Jack,Mediators Inflamm. 2012;2012:920517. doi: 10.1155/2012/920517. Epub 2012 Apr 11.,22577258,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 15:08:42,EW,J Pharmacol Exp Ther. 2012 Sep;342(3):608-18. doi: 10.1124/jpet.112.192120. Epub 2012 Jun 13.,22700427,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/23/2024 23:53:14,Kiramat Ullah,J Pharmacol Exp Ther. 2012 Sep;342(3):608-18. doi: 10.1124/jpet.112.192120. Epub 2012 Jun 13.,22700427,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
